epoch,train_loss,train_acc,test_loss,test_acc
1,1.8065483801364899,0.3389,1.5417100512981414,0.4374
2,1.436655358314514,0.48034,1.395037395954132,0.4974
3,1.3042364282608032,0.5313,1.3064229583740234,0.5332
4,1.2120930855274201,0.56212,1.254409909248352,0.5465
5,1.138690283536911,0.59142,1.2067651224136353,0.5666
6,1.0756187553405763,0.6141,1.1896785807609558,0.5736
7,1.0134171195030213,0.63828,1.1523919028043748,0.5868
8,0.9559067809581756,0.6565,1.1661545574665069,0.5905
9,0.8981393092870712,0.67848,1.1648722612857818,0.592
10,0.840748625934124,0.70022,1.1632417780160904,0.599
11,0.7825576213598251,0.7216,1.165703343153,0.5971
12,0.7232865092158317,0.743,1.1979321897029878,0.603
13,0.6636950560212135,0.76286,1.252176753282547,0.5981
14,0.610406551361084,0.78176,1.2999709409475326,0.5921
15,0.5549638003110886,0.80284,1.3580895614624025,0.5917
16,0.5139704847335815,0.81656,1.354179652929306,0.5952
17,0.4662900579571724,0.83332,1.4368677270412444,0.5977
18,0.4164794645309448,0.85094,1.5084602773189544,0.5882
19,0.387024217158556,0.86254,1.5560250318050384,0.5925
20,0.34945813989639285,0.87594,1.6153416192531587,0.5886
21,0.3246192290186882,0.88294,1.7089925372600556,0.5898
22,0.2938841501474381,0.89366,1.7349349796772002,0.5962
23,0.27879967604577544,0.90044,1.768889307975769,0.5896
24,0.2559989265650511,0.9077,1.7510465216636657,0.5875
25,0.24727791196107865,0.91238,1.8604367530345918,0.5859
26,0.22074236719310283,0.9216,1.9761680686473846,0.5915
27,0.21692191153764726,0.92356,1.9653444051742555,0.5825
28,0.21093580703437328,0.92466,1.9744904100894929,0.5875
29,0.19561305993050337,0.93004,2.0676655089855194,0.5827
30,0.1889651182293892,0.9321,2.0787921571731567,0.5868
31,0.18625081608444452,0.93262,2.1586960327625273,0.5843
32,0.17489683453738689,0.93774,2.178310556411743,0.5842
33,0.17282871478050948,0.93794,2.155194458961487,0.582
34,0.15410504460334778,0.94484,2.156431450843811,0.5866
35,0.16603396837413312,0.94028,2.2372057044506075,0.5847
36,0.16039956647902728,0.9438,2.1539224863052366,0.5826
37,0.14732290572300552,0.9477,2.276489591598511,0.5847
38,0.14363413087278604,0.9494,2.282418601512909,0.583
39,0.15354240763932467,0.94588,2.2342197096347807,0.5837
40,0.1346971834488213,0.95268,2.3644027376174925,0.5818
41,0.14937852432578802,0.94736,2.2096882498264314,0.5885
42,0.13353882147371768,0.95208,2.3283363914489748,0.5837
43,0.13673138508945704,0.95192,2.3556365168094633,0.586
44,0.12862910659611226,0.95512,2.335206027030945,0.5889
45,0.13202239914610983,0.95408,2.2981023943424224,0.5865
46,0.12793906078860165,0.95578,2.393720734119415,0.5846
47,0.13030622460320593,0.9542,2.36507269859314,0.5861
48,0.1129658790640533,0.95994,2.4158928644657136,0.5929
49,0.14208288462087512,0.95054,2.2960168993473054,0.5817
50,0.12622795451804997,0.95592,2.3087862718105314,0.5933
