epoch,train_loss,train_acc,test_loss,test_acc
1,1.8864178962707518,0.30418,1.6815586280822754,0.4047
2,1.569991672039032,0.43568,1.5039694654941558,0.4565
3,1.4443793263435363,0.4816,1.4021085095405579,0.4901
4,1.3607255630493165,0.50732,1.379723539352417,0.5033
5,1.2991978025436401,0.53144,1.3145130240917207,0.5305
6,1.235962273478508,0.55384,1.2696026372909546,0.5458
7,1.1800609784126281,0.57354,1.2272726732492447,0.5581
8,1.1265088003873824,0.5953,1.2082738095521928,0.5674
9,1.0875912189483643,0.60876,1.1969151949882508,0.5688
10,1.0434180911779403,0.6254,1.1930418038368225,0.5736
11,1.0019419935941696,0.63892,1.1926768177747726,0.5776
12,0.9633717857599259,0.65354,1.203866868019104,0.5796
13,0.92070254778862,0.66964,1.170428889989853,0.592
14,0.8805232990384102,0.68342,1.210234369635582,0.5812
15,0.8368596332073212,0.70014,1.1959836840629579,0.5863
16,0.7950682671070098,0.71454,1.2372675555944443,0.5796
17,0.7603354141712189,0.72596,1.2325541990995408,0.5876
18,0.7158191981911659,0.74236,1.2852674221992493,0.582
19,0.6742338044047356,0.75828,1.3237106645107268,0.5808
20,0.631744907438755,0.77326,1.3694225299358367,0.5813
21,0.6033587012290954,0.78298,1.391114089488983,0.5899
22,0.5623432768583297,0.7963,1.4179300272464752,0.5797
23,0.5344566320180892,0.80816,1.456620556116104,0.5807
24,0.4959865529537201,0.82076,1.5200303637981414,0.5725
25,0.47083086156845094,0.83056,1.5150017857551574,0.5754
26,0.4433545365035534,0.83964,1.5933849728107452,0.569
27,0.41884463420510293,0.84876,1.6263135862350464,0.5699
28,0.39114051428437235,0.85934,1.7211574864387513,0.5662
29,0.36938906478881833,0.86756,1.681012476682663,0.5748
30,0.3509417610615492,0.87322,1.7590603947639465,0.566
31,0.33516162464022636,0.87908,1.874590425491333,0.5709
32,0.31756132531166076,0.88544,1.8957151365280152,0.5626
33,0.2934688079804182,0.89342,1.8977182602882385,0.5682
34,0.2941333014518023,0.89314,1.870119104385376,0.5702
35,0.2753936502635479,0.89988,1.9454678547382356,0.5687
36,0.26878285624086856,0.90414,1.973649160861969,0.5659
37,0.2486885195374489,0.91108,2.061284381151199,0.571
38,0.244508867546916,0.91186,2.093760802745819,0.5642
39,0.2365327513217926,0.91408,2.14561084151268,0.5672
40,0.2273666859418154,0.91802,2.2076826417446136,0.5724
41,0.22088698711991311,0.92082,2.1565680730342867,0.5676
42,0.21970953857898712,0.92114,2.2234198486804964,0.5677
43,0.2127933508604765,0.92478,2.270811268091202,0.5659
44,0.19536005637049675,0.93174,2.215077543258667,0.5645
45,0.21182706974446774,0.92404,2.264292048215866,0.5678
46,0.1883298855498433,0.9324,2.3097243809700014,0.5648
47,0.18719392680376767,0.93258,2.3179098212718965,0.567
48,0.18419991590827703,0.93564,2.342387729883194,0.5663
49,0.18769984287023544,0.93312,2.3007028663158415,0.5667
50,0.1713124807327986,0.93824,2.3611175882816315,0.5697
